"SpeciesName","HerbariumCode","Source","Collector","RecordNumber","CollectionDay","CollectionMonth","CollectionYear","Country","Admin1","Admin2","Admin3","Locality","Longitude","Latitude","CoordUncertainty","LocationNotes","EcologyNotes","AnalysisNotes","Remove","CountyLevelOnly"
"Alnus incana","CLM","From Curator","F.H. Herrick","040830",NA,4,1881,"United States","NH","Grafton","Hanover",NA,-71.842264,43.926488,37532.9877150382,NA,NA,"",0,1
"Fraxinus americana","CLM","From Curator","F.H. Herrick","032558",30,6,1869,"United States","NH","Grafton","Hanover",NA,-71.842264,43.926488,37532.9877150382,NA,NA,"",0,1
"Hamamelis virginiana","CLM","From Curator","S. Prentiss Baldwin","041372",15,9,1888,"United States","NH","Grafton","Hanover",NA,-71.842264,43.926488,37532.9877150382,NA,NA,"",0,1
"Rhamnus frangula","CLM","From Curator","Charles L. Pollard","033498",23,5,1894,"United States","NJ","Hudson","New Durham",NA,-74.078627,40.731384,6170.95904499321,NA,"Only two known localities in USA.","",0,1
"Hamamelis virginiana","CLM","From Curator","C.L. Tempe","050901",16,9,1994,"United States","NY","Rensselaer","Town of Schodack",NA,-73.513845,42.710421,23192.168502851,"1692 Schodack Valley Road (property of Roy W. Lustenader).","Stream bed of Moordener Kill.","",0,1
"Alnus incana","CLM","From Curator","James K. Bissell","015163",2,10,1980,"United States","OH","Ashtabula","Richmond Township",NA,-80.745641,41.906644,24055.877090236,"Alder-winterberry-blueberry hummock northeast of a meadow sweet-swamp rose marsh along the east side of the Ashtabula River headwater stream, just downstream from the Pennsylvania line in northeast Richmond Township;","SY=A. rugosa  (Du Roi) Spreng. Occasional to common on raised hummocks","",0,1
"Fraxinus americana","CLM","From Curator","James K. Bissell","058783",9,9,1992,"United States","OH","Ashtabula","Harpersfield Twp.","Wright Davis SNP:",-80.745641,41.906644,24055.877090236,"Channel pond along base of south valley wall of Grand River just east of OH Rt. 534; south of reservoir;","Rare within floodplain forest canopy on dry, raised knoll adjacent to  channel pond.","",0,1
"Hamamelis virginiana","CLM","From Curator","James K. Bissell","016679",19,6,1975,"United States","OH","Ashtabula","Pierpont Township",NA,-80.745641,41.906644,24055.877090236,"Hemlock ravine on the east side of the West Branch of the Ashtabula River, just south of Ohio Rt.167 in the western part of the township",NA,"",0,1
"Hamamelis virginiana","CLM","From Curator","Beverly A. Stamp","066049",26,5,2001,"United States","OH","Ashtabula","Dorset Twp.","Dorset Wildlife Area:",-80.745641,41.906644,24055.877090236,"Wet woods; Kyle Road/West;","Common.","",0,1
"Alnus incana","CLM","From Curator","James K. Bissell","013781",9,5,1979,"United States","OH","Ashtabula","Plymouth Township",NA,-80.745641,41.906644,24055.877090236,"Ashtabula ""Gulf""; steep, shaley, dry cliffs on the south side of the Ashtabula River between State Road and Ohio Rt.11; slopes are sugar maple-red oak-beech-yellow birch-black cherry-white ash-hemlock-white pine","Locally abundant on open, shaley slips","",0,1
"Fraxinus americana","CLM","From Curator","James K. Bissell","018152",21,6,1982,"United States","OH","Ashtabula","Morgan Twp.","Grand River Terraces Reserve:",-80.745641,41.906644,24055.877090236,"Rich, level, wooded floodplain, covered with basswood, sugar maple, black cherry, white oak, silver maple and white elm, along the west side of the Grand River, and south of the Schweitzer Rd. bridge;","Occasional throughout the canopy","",0,1
"Fraxinus americana","CLM","From Curator","Patricia L. MacKeigan","074921",11,8,2004,"United States","OH","Ashtabula","North Kingsville","North Kingsville Sand Barrens Preserve:",-80.745641,41.906644,24055.877090236,"Large, wooded open sand barrens/oak savannah habitat on north side of Conrail Railroad tracks and just west of Poore Road; approximately Lat.41 55'47.04""N, Long.80 38'07.32""W; North Kingsville Quad;","Collected off the main trail.","",0,1
"Fraxinus americana","CLM","From Curator","William G. Owen","010360",28,7,1977,"United States","OH","Ashtabula","Windsor Township","Camp Whitewood:",-80.745641,41.906644,24055.877090236,"Near Windsor Mills","Common along the western rim of Warner's Hollow","",0,1
"Rhamnus frangula","CLM","From Curator","James K. Bissell","017846",28,5,1982,"United States","OH","Ashtabula","Morgan Twp.","Grand River Terraces Reserve:",-80.745641,41.906644,24055.877090236,"Level, wet to dry, old field area with a few scattered sapling red maples and quaking aspens, on the south side of Schweitzer Road and southwest of Tote Road terminus;","Rare, a few scattered shrubs in the old field area","",0,1
"Hamamelis virginiana","CLM","From Curator","William G. Owen","010362",28,7,1977,"United States","OH","Ashtabula","Windsor Township","Camp Whitewood:",-80.745641,41.906644,24055.877090236,"Near Windsor Mills","Common along the western rim of Warner's Hollow","",0,1
"Rhamnus alnifolia","CLM","From Curator","James K. Bissell","071281",26,5,2005,"United States","OH","Ashtabula","Richmond Twp.","Penn Line Seepage Swamp:",-80.745641,41.906644,24055.877090236,"Acer saccharinum-Betula alleghaniensis-Fraxinus nigra-Alnus incana-Vaccinium corymbosum-Ilex verticillata-Rhamnus alnifolia forest/shrub fen flooded by beaver; several hummocks locally dominated by Maianthemum-Clintonia borealis-Coptis trifolia still intact; just west of PA line and .5 mile due north of Footville-Richmond Road; Leon Quad;","Local to occasional along northern edge of fen.","",0,1
"Hamamelis virginiana","CLM","From Curator","James K. Bissell","019883",5,5,1983,"United States","OH","Ashtabula","Kingsville Twp.","Blakeslee/Barrows Preserve:",-80.745641,41.906644,24055.877090236,"South valley wall mixed mature sugar maple-yellow birch-hemlock-black cherry-tulip-red oak forest on steep valley wall 3/4 mile upstream from South Ridge Rd. bridge; North Kingsville Quad;","Occasional throughout.","",0,1
"Fraxinus americana","CLM","From Curator","James K. Bissell","017829",2,7,1982,"United States","OH","Ashtabula","Morgan Twp.","Grand River Terraces:",-80.745641,41.906644,24055.877090236,"Wooded slopes along a floodplain bluff, along the west side of the Grand River, and north of the Schweitzer Rd. bridge","Scarce to occasional within the canopy","",0,1
"Fraxinus americana","CLM","From Curator","Patricia L. MacKeigan","072326",15,9,2004,"United States","OH","Ashtabula","North Kingsville","North Kingsville Sand Barrens Reserve:",-80.745641,41.906644,24055.877090236,"Large, level open sand barrens on north side of Conrail Railroad tracks and just west of Poore Road; Lat. 41 55'53""N, 80 38'54""W; North Kingsville Quad;","Uncommon.","",0,1
"Alnus incana","CLM","From Curator","James K. Bissell","024190",25,7,1987,"United States","OH","Ashtabula","North Kingsville Village",NA,-80.745641,41.906644,24055.877090236,"Open woods on lake bluff slumps just .18 miles due west of the Conneaut Corporate limits, and .15 miles due north of OH Rt. 531; hemlock-yellow birch-striped maple-Quercus borealis cover;","Occasional on edges and within openings of slump forest. SYN = A. rugosa","",0,1
"Fraxinus americana","CLM","From Curator","James K. Bissell","016243",17,9,1981,"United States","OH","Ashtabula","Williamsfield Township",NA,-80.745641,41.906644,24055.877090236,"Ten to twenty year old, second growth, red maple-basswood-tupelo-red oak-tulip-magnolia-yellow birch swamp forest on wet flats just south of the Andover Township line, in northern Williamsfield Township;","Scarce, a few saplings scattered across wet, cut-over flats","",0,1
"Hamamelis virginiana","CLM","From Curator","James K. Bissell","024114",26,5,1987,"United States","OH","Ashtabula","North Kingsville Village","North Kingsville Sand Barrens Reserve:",-80.745641,41.906644,24055.877090236,"Cut-over secondary woods; mixed tulip-silver maple-black cherry-hemlock- magnolia-yellow birch-red maple-sassafras-red oak on terraces and flats along margin between lake plain and north base of extensive beach ridge system; .4 mile west of Poore Rd. and .2 mile north of Conrail tracks;","Occasional in understory.","",0,1
"Fraxinus americana","CLM","From Curator","James K. Bissell","043116",4,10,1992,"United States","OH","Ashtabula","North Kingsville","North Kingsville Sand Barrens Reserve:",-80.745641,41.906644,24055.877090236,"Mesic Tsuga-Liriodendron-Betula alleghaniensis-Magnolia acuminata-Acer rubrum mixed forest on raised terraces between springheads along base of old dune slope at Clintonia area about .08 mile north of Conrail RR tracks and .35 mile west of Poore Road;","Local to occasional on better drained terraces between and above springheads.","",0,1
"Hamamelis virginiana","CLM","From Curator","Sara F. Goodrich","041374",8,10,1883,"United States","OH","Ashtabula","Geneva",NA,-80.745641,41.906644,24055.877090236,"N.W. Woods","Collector assumed to be Sara F. Goodrich because of the handwriting","",0,1
"Fraxinus americana","CLM","From Curator","James K. Bissell","004563",20,6,1974,"United States","OH","Ashtabula","Trumbull Township",NA,-80.745641,41.906644,24055.877090236,"In a boggy opening(Caltha-Osmunda cinnamomea) on the south side of Matson Road, about 1.0 mile west of Ohio Rt.534",NA,"",0,1
"Fraxinus americana","CLM","From Curator","James K. Bissell","015442",6,10,1975,"United States","OH","Ashtabula","Austinburg Twp.",NA,-80.745641,41.906644,24055.877090236,"Upland, secondary, red oak-hickory-basswood-tulip forest on clay till of the Ashtabula Moraine; on top of the Moraine about 1.0 mile north of Austinburg; on the Austinburg/Saybrook township line;","Common tree in the canopy","",0,1
"Rhamnus frangula","CLM","From Curator","Timothy L. Walters","065405",25,8,2000,"United States","OH","Ashtabula","Saybrook Twp.","Nineveh Road Swamp Woods - North:",-80.745641,41.906644,24055.877090236,"Dense shrub-scrub; Associates: Populus tremuloides-Viburnum recognitum-  Salix-Rubus allegheniensis-Solidago canadensis-Juncus effusus; North side  of Penn-Central RR tracks,.78 mi W of Nineveh Rd and .34 mi S of New  London Rd.;","Occasional throughout and occasionally clumped. No. 7314 415008.5N 0805407.3W","",0,1
"Fraxinus americana","CLM","From Curator","James K. Bissell","013589",8,6,1979,"United States","OH","Ashtabula","North Kingsville","Kingsville Swamp:",-80.745641,41.906644,24055.877090236,"Secondary, wet, swamp forest flats between N&W tracks to the south and a buttonbush pond to the north; just south of the Lake Warren Ridge and just west of the Conneaut corporate boundary; area runs along an east-west axis of the Kingsville Township and North Kingsville line;","Scarce in canopy throughout; specimen collected from a shaded sapling.","",0,1
"Alnus incana","CLM","From Curator","Timothy L. Walters","064126",12,9,2000,"United States","OH","Ashtabula","Conneaut","Conneaut Swamp Forest:",-80.745641,41.906644,24055.877090236,"Shrub/scrub inside red maple forest; 100 feet north of railroad tracks;  .9 miles west of Grant Road and .2 miles north of Gore Road; ca. 1 mile  NNE of Amboy; Conneaut Quad;                                                TLW:2000:346","Frequent; Associates: Acer rubrum, Alnus, Glyceria striata, Geum, Lindera,  Fraxinus americana, Cornus, Vitis riparia, Lonicera.","",0,1
"Hamamelis virginiana","CLM","From Curator","John Mack","072835",10,7,2000,"United States","OH","Ashtabula","Kingsville Twp.","North Kingsville Sand Barrens:",-80.745641,41.906644,24055.877090236,"Isolated swamp forest; Isolated slope; high quality, mature, groundwater fed mixed (maple-ash-oak-tulip poplar-birch) swamp forest on slope of ancient beach ridge; wetland located north of railroad tracks about 0.5km west of Poore Road on north side of old beach ridge; Lat.41 55'58"", Long.80 39'04""; North Kingsville Quad;","With Acer rubrum, Betula alleghaniensis, Fraxinus pensylvanica, Liriodendron tulipifera, Quercus rubra, Ulmus rubra, Symplocarpus, Osmunda cinnamomea, Coptis trifolia, Carex laevivaginata, Lindera benzoin, Sambucus canadensis","",0,1
"Rhamnus alnifolia","CLM","From Curator","James K. Bissell","019724",21,7,1983,"United States","OH","Ashtabula","Wayne Township","Pymatuning Creek Area:",-80.745641,41.906644,24055.877090236,"Fen shrub thickets and meadows along the base of the east valley wall of Pymatuning Creek, about 800 to 1,000 feet south of Woodworth Road;","Common throughout the area","",0,1
"Hamamelis virginiana","CLM","From Curator","James K. Bissell","020288",19,5,1983,"United States","OH","Ashtabula","Denmark Township","Denmark Swamp Forest:",-80.745641,41.906644,24055.877090236,"Mixed cut-over and secondary forest on a level till plain 1.25 mile northwest of the intersection of OH Rt. 167 and Stanhope-Kelloggsville Road;","Occasional to common throughout.","",0,1
"Alnus serrulata","CLM","From Curator","James K. Bissell","015260",1,9,1981,"United States","OH","Ashtabula","Geneva-on-the-Lake","Geneva State Park:",-80.745641,41.906644,24055.877090236,"Open, Polygonum sagittatum-Leersia oryzoides meadow along the western shoreline of the Cowles Creek Marsh, about 70 meters south of the mouth of Cowles Creek into Lake Erie","Lone small tree about 20 feet high","",0,1
"Fraxinus americana","CLM","From Curator","James K. Bissell","042413",3,10,1992,"United States","OH","Ashtabula","Geneva Township","Geneva Swamp Woods:",-80.745641,41.906644,24055.877090236,"Mixed lake plain swamp forest on hummock-hollow flats; canopy Acer saccharinum-Quercus palustris-Nyssa-Ulmus americana-Fraxinus tomentosa-Betula alleghaniensis; vernal pools scattered throughout woods; 334 degrees and .98 mile from intersection of US Rt. 20 and OH Rt. 534;","Local to occasional on dryer grounds adjacent to pools.","",0,1
"Hamamelis virginiana","CLM","From Curator","James K. Bissell","023107",14,6,1986,"United States","OH","Ashtabula","Monroe Twp.","Ovenbird Woods:",-80.745641,41.906644,24055.877090236,"Cut-over Acer rubrum-Betula lutea-Nyssa-Liriodendron-Quercus borealis- Prunus serotina-Fagus swamp flats on level, hummock hollow topography; 335 degrees and .5 mile from intersection of Richardson Rd. and State Line Rd.;","Common understory shrub.","",0,1
"Hamamelis virginiana","CLM","From Curator","James K. Bissell","017727",25,9,1982,"United States","OH","Ashtabula","Morgan Township","Grand River Terraces:",-80.745641,41.906644,24055.877090236,"Along the bluff rim of a large ravine within a secondary red maple-black cherry-magnolia woods; Ravine is cutting into a lake bottom terrace from the floodplain of the Grand River","Occasional throughout most woods on the entire preserve","",0,1
"Alnus incana","CLM","From Curator","John W. Aldrich","002492",21,6,1937,"United States","OH","Ashtabula","Richmond","Penn Line Bog:",-80.745641,41.906644,24055.877090236,NA,NA,"",0,1
"Alnus serrulata","CLM","From Curator","James K. Bissell","013593",8,6,1979,"United States","OH","Ashtabula","North Kingsville","Kingsville Swamp:",-80.745641,41.906644,24055.877090236,"Secondary, wet, swamp forest flats between N&W tracks to the south and a buttonbush pond to the north; just south of the Lake Warren Ridge and just west of the Conneaut corporate boundary; area runs along an east-west axis of the Kingsville Township and North Kingsville line;","Locally common on wet wood edges at the eastern end of the swamp.","",0,1
"Hamamelis virginiana","CLM","From Curator","James K. Bissell","004343",9,9,1974,"United States","OH","Ashtabula","Geneva Township",NA,-80.745641,41.906644,24055.877090236,"In the cut-over, pin oak flats between US Rt. 20 (Lake Warren Beach  Ridge) and the Lake Erie shore, just west of OH Rt. 534;",NA,"",0,1
"Hamamelis virginiana","CLM","From Curator","Beverly A. Stamp","070538",12,10,2002,"United States","OH","Ashtabula","Dorset Twp.","Dorset Wildlife Area:",-80.745641,41.906644,24055.877090236,"Path, south of parking area; Kyle Road/East;","Common.","",0,1
"Hamamelis virginiana","CLM","From Curator","James K. Bissell","021171",26,9,1984,"United States","OH","Ashtabula","Morgan Township","Beaumont Scout Reservation:",-80.745641,41.906644,24055.877090236,"Hemlock-yellow birch-red maple-black cherry-tupelo-beech swamp forest on level hummock-hollow topography, .9 mile west of OH Rt. 45 and .4 mile south of Latimer Road; Jefferson Quad;","Occasional throughout on hummocks in understory","",0,1
"Hamamelis virginiana","CLM","From Curator","John Mack","073480",11,7,2000,"United States","OH","Ashtabula","Morgan Twp.","Grand River Terraces Preserve:",-80.745641,41.906644,24055.877090236,"Buttonbush Shrub Swamp; Isolated Depression; very high quality buttonbush swamp with boggy zones grading into second growth forest at margins; small shrub swamp on terraces above Grand River about 0.5 mile west of Grand River on north side of Schweitzer Road; Lat.41 42'42""N, Long.80 52'47""W; East Trumbull Quad;",NA,"",0,1
"Rhamnus alnifolia","CLM","From Curator","James K. Bissell","017251",24,5,1978,"United States","OH","Ashtabula","Richmond Township","Penn Line Seepage Forest:",-80.745641,41.906644,24055.877090236,"Fen seeps and wet flats along the north side of the upper channel of the East Branch of the Ashtabula River, just west of the Ohio/Pennsylvania state line;","Locally common in small stands.","",0,1
"Fraxinus americana","CLM","From Curator","James K. Bissell","015171",15,10,1980,"United States","OH","Ashtabula","Harpersfield Township",NA,-80.745641,41.906644,24055.877090236,"Late stage, old field succession with nearly closed canopy on gently rolling Ashtabula Till, about .5 miles south of the Grand River, and one mile east of the Lake County line;","Occasional to common, often forming pure stands in 20-40 year old secondary forests","",0,1
"Hamamelis virginiana","CLM","From Curator","James K. Bissell","004922",17,6,1975,"United States","OH","Ashtabula","Morgan Township","Morgan Swamp:",-80.745641,41.906644,24055.877090236,"Series of beaver ponds and secondary forest flats on the north side of Shaffer Road; on the bottoms of the postglacial Grand River Lake bed southwest of Rock Creek, on the west side of the Grand River in the southwest part of the township;",NA,"",0,1
"Alnus incana","CLM","From Curator","James K. Bissell","020142",16,6,1983,"United States","OH","Ashtabula","Wayne Township","Pymatuning Creek Area:",-80.745641,41.906644,24055.877090236,"Open to partially shaded alder fen flats about 1/2 mile south of the intersection of Conrail tracks and Woodworth Road along the base of the west valley wall, within northeast Wayne Township;","Common to abundant throughout shrubby fen flats. SY: Alnus rugosa  (DuRoi)Spreng.","",0,1
"Rhamnus alnifolia","CLM","From Curator","James K. Bissell","019787",26,5,1983,"United States","OH","Ashtabula","Wayne Township","Pymatuning Creek Area:",-80.745641,41.906644,24055.877090236,"Alder-nannyberry-fen flats along the base of the west valley wall of Pymatuning Creek, about .5 mile south of Woodworth Road on the east side of the railroad tracks;","Large clones scattered throughout the flats","",0,1
"Hamamelis virginiana","CLM","From Curator","Beverly A. Stamp","066048",17,6,2001,"United States","OH","Ashtabula","Dorset Twp.","Dorset Wildlife Area:",-80.745641,41.906644,24055.877090236,"Thicket, edge of water; Tower Road/West;","Common.","",0,1
"Rhamnus frangula","CLM","From Curator","Michael J. Silvaggio","066109",30,5,1993,"United States","OH","Ashtabula","Ashtabula","Thomas Jefferson Elementary School:",-80.745641,41.906644,24055.877090236,"Along wooded path, 50 yards southwest of extreme southwest corner of  school field;","Common.","",0,1
"Hamamelis virginiana","CLM","From Curator","James K. Bissell","004568",20,6,1974,"United States","OH","Ashtabula","Trumbull Township",NA,-80.745641,41.906644,24055.877090236,"In a boggy opening(Caltha-Osmunda cinnamomea) on the south side of Matson Road, about 1.0 mile west of Ohio Rt.534",NA,"",0,1
"Hamamelis virginiana","CLM","From Curator","William G. Owen","010410",12,10,1977,"United States","OH","Ashtabula","Windsor Township","Camp Whitewood:",-80.745641,41.906644,24055.877090236,"Near Windsor Mills","Common in Warner's Hollow near Phelps Creek","",0,1
"Rhamnus alnifolia","CLM","From Curator","James K. Bissell","019692",25,6,1983,"United States","OH","Ashtabula","Cherry Valley Township","Pymatuning Creek Area:",-80.745641,41.906644,24055.877090236,"Shrubby fen seep flats along the west valley wall of Pymatuning Creek, about 1/2 mile south of Mann Road;","Locally common within the fen flats","",0,1
"Rhamnus alnifolia","CLM","From Curator","Stanley J. Stine,Jr.","052609",23,6,1997,"United States","OH","Ashtabula","Wayne Twp.","McCoy Fen SNP:",-80.745641,41.906644,24055.877090236,"300 ft. west of Conrail line and .4 mile south of Woodworth Rd.; Cherry Valley Quad;","Scattered throughout fen meadow bordering Carex lacustris community of west fen.","",0,1
"Alnus incana","CLM","From Curator","James K. Bissell","058325",11,7,1998,"United States","OH","Ashtabula","Kingsville Township","Conneaut Creek:",-80.745641,41.906644,24055.877090236,"Alnus incana-Cephalanthus-Lindera-Salix sericea seepage shrub swamp along north side of Conneaut Creek; .2 mile north of I-90 bridge; North Kingsville Quad;","Common within open shrub seepage.","",0,1
"Rhamnus alnifolia","CLM","From Curator","James K. Bissell","017098",4,9,1982,"United States","OH","Ashtabula","Wayne Twp.","Pymatuning Creek Area:",-80.745641,41.906644,24055.877090236,"Open to partially shaded flats along the base of the west valley wall of Pymatuning Creek, just east of the Conrail tracks and about .5 mile south of Woodworth Road, in the northeast part of the township;","Occasional to locally common throughout the fen flats","",0,1
"Fraxinus americana","CLM","From Curator","Ruthann Nebraska","065916",21,10,1963,"United States","OH","Athens","Athens","Ohio University:",-82.046008,39.333848,20375.8650369353,"Collected from lawn at top of hill behind Boyd Hall;",NA,"",0,1
"Rhamnus alnifolia","CLM","From Curator","William C. Werner","009460",27,5,1893,"United States","OH","Champaign",NA,NA,-83.767542,40.132759,18799.0087900292,"Cedar Swamp near Urbana",NA,"",0,1
"Rhamnus frangula","CLM","From Curator","Uhl R. Kuhn","009462",10,8,1942,"United States","OH","Cuyahoga","Waite Hill Village",NA,-81.724217,41.760392,19414.3443600172,"Upland thicket;",NA,"",0,1
"Hamamelis virginiana","CLM","From Curator","Philip L. Cobb","008055",20,5,1886,"United States","OH","Cuyahoga","Cleveland","Cedar Glen:",-81.724217,41.760392,19414.3443600172,NA,"Leaves and fruit.","",0,1
"Rhamnus frangula","CLM","From Curator","James K. Bissell","005134",4,6,1975,"United States","OH","Cuyahoga","Hunting Valley","Chagrin River Forest Preserve:",-81.724217,41.760392,19414.3443600172,"Old field area, numerous springs and seeps on an adjacent subirrigated slope keeps the area moist into late summer. Skunk cabbage and sensitive fern is abundant throughout the area",NA,"",0,1
"Rhamnus frangula","CLM","From Curator","Donald D. Hinman","010116",27,7,1975,"United States","OH","Cuyahoga","Orange Village",NA,-81.724217,41.760392,19414.3443600172,NA,"Frequent.","",0,1
"Rhamnus frangula","CLM","From Curator","Allison W. Cusick","003893",25,6,1974,"United States","OH","Cuyahoga","Moreland Hills",NA,-81.724217,41.760392,19414.3443600172,NA,NA,"",0,1
"Hamamelis virginiana","CLM","From Curator","Leslie D. Stair","006873",30,5,1902,"United States","OH","Cuyahoga","Gates Mills",NA,-81.724217,41.760392,19414.3443600172,"Woods.",NA,"",0,1
"Rhamnus frangula","CLM","From Curator","James K. Bissell","012782",3,8,1979,"United States","OH","Cuyahoga","Cleveland",NA,-81.724217,41.760392,19414.3443600172,"Brookpark Station: I-480/I-71/Brookpark Road area along the Rapid Transit Corridor just north of the northeast corner of Brookpark, in the southwest area of Cleveland;","Rare, one lone shrub growing amid numerous normal buckthorns","",0,1
"Rhamnus frangula","CLM","From Curator","Sarah Ford","013431",28,5,1975,"United States","OH","Cuyahoga","Moreland Hills","Wiley Creek:",-81.724217,41.760392,19414.3443600172,NA,NA,"",0,1
"Hamamelis virginiana","CLM","From Curator","James K. Bissell","005915",9,7,1975,"United States","OH","Cuyahoga","Hunting Valley","Chagrin River Forest Preserve:",-81.724217,41.760392,19414.3443600172,"Secondary, sweet birch-tulip-red oak-cottonwood-big tooth aspen forest, on a sandy soil outwash tableland between tulip trough and the hogback bluff above Buffalo slip, about 1000 feet south of Fairmount Blvd.;",NA,"",0,1
"Alnus incana","CLM","From Curator","James K. Bissell","014976",10,9,1980,"United States","OH","Cuyahoga","Hunting Valley",NA,-81.724217,41.760392,19414.3443600172,"Eroding, sandy, glacial outwash, on the upper edge of a Chagrin Shale cliff, along the east side of the West Branch of the Cuyahoga River, just west of the Geauga County line","SY=Alnus rugosa (Du Roi) Spreng.       Scarce to occasional on eroding, shallow, glacial deposits","",0,1
"Hamamelis virginiana","CLM","From Curator","John M. Tomci","005358",NA,8,1974,"United States","OH","Cuyahoga","Olmstead Falls Twp.","West Branch Rocky River:",-81.724217,41.760392,19414.3443600172,NA,NA,"",0,1
"Alnus serrulata","CLM","From Curator","James K. Bissell","020568",27,8,1983,"United States","OH","Cuyahoga","Gates Mills","North Chagrin Cleveland Metropark:",-81.724217,41.760392,19414.3443600172,"Channel marsh along the base of the west valley wall of the West Branch of the Chagrin River about 0.5 mile north of Wilson Mills Road, within the eastern limits of Gates Mills;","Occasional throughout","",0,1
"Rhamnus frangula","CLM","From Curator","James K. Bissell","002509",9,8,1974,"United States","OH","Cuyahoga",NA,"Rocky River Cleveland Metropark:",-81.724217,41.760392,19414.3443600172,"Along the edge of Rocky River, near the junction of the Valley Parkway  and Eastland Road, just south of Berea;",NA,"",0,1
"Rhamnus frangula","CLM","From Curator","Suneeti Jog","067530",29,5,2000,"United States","OH","Cuyahoga","Highland Heights","Highland Heights Community Park:",-81.724217,41.760392,19414.3443600172,"Insolated part of meadow, A#2;","Keyed with Weishaupt, 1971. Common name: Buckthorn; Family: Rhamnaceae","",0,1
