"species","continent","country","adm1","adm2","locality","lat","lon","coordUncertaintyM","alt","institution","collection","catalogNumber","basisOfRecord","collector","earliestDateCollected","latestDateCollected","gbifNotes","downloadDate","maxElevationM","minElevationM","maxDepthM","minDepthM","ISO2","cloc"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Ottawa (metro)","Springhill Bog  (Osgoode Bog)  Osgoode Township  approx. 2 miles west of Springhill Cemetary.",45.183,-75.5,NA,NA,"CMN","CAN","CAN 536427","specimen","Dugal, Albert W.; Camfield, M.","1988-09-15","1988-09-15","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Springhill Bog  (Osgoode Bog)  Osgoode Township  approx. 2 miles west of Springhill Cemetary., Ontario, Ottawa (metro), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Stormont, Dundas and Glengarry United Co.","Chesterville  Swampy woods 5 miles south-southeast of Chesterville  Williamsburgh Township.",45.033,-75.167,NA,NA,"CMN","CAN","CAN 430273","specimen","Shchepanek, Michael J.; Dugal, Albert W.","1977-04-28","1977-04-28","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Chesterville  Swampy woods 5 miles south-southeast of Chesterville  Williamsburgh Township., Ontario, Stormont, Dundas and Glengarry United Co., Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Frontenac Co. (ON)","Harlowe  0.75 miles south of  intersection of Boundary Creek and forced road  just south of township line  Kennebec Township.",44.792,-77.078,NA,NA,"CMN","CAN","CAN 497012","specimen","Vogg, Adolf","1983-07-10","1983-07-10","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Harlowe  0.75 miles south of  intersection of Boundary Creek and forced road  just south of township line  Kennebec Township., Ontario, Frontenac Co. (ON), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Québec","Mun. Rég. de Cté de Papineau","Lac La Blanche  West bay of  near outlet of Riviere Blanche  Mulgrave Township.",45.733,-75.333,NA,NA,"CMN","CAN","CAN 530300","specimen","Shchepanek, Michael J.; Dugal, Albert W.","1976-06-30","1976-06-30","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Lac La Blanche  West bay of  near outlet of Riviere Blanche  Mulgrave Township., Québec, Mun. Rég. de Cté de Papineau, Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Algoma Distr. (ON)","Pancake Bay",47,-84.75,NA,NA,"CMN","CAN","CAN 41171","specimen","Taylor, Thomas M.C.; Hosie, R.C.","1935-07-22","1935-07-22","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Pancake Bay, Ontario, Algoma Distr. (ON), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Ottawa (metro)","Kanata  1 mile west of  March Township.",45.483,-76.083,NA,NA,"CMN","CAN","CAN 530085","specimen","Shchepanek, Michael J.; Dugal, Albert W.","1976-04-20","1976-04-20","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Kanata  1 mile west of  March Township., Ontario, Ottawa (metro), Canada, North America"
"Alnus incana ssp. rugosa","North America","United States","Maine","Washington Co. (ME)","St. Croix River  Grand Falls dam site  Baileyville Township  Loc. # 22.",45.267,-67.483,NA,NA,"CMN","CAN","CAN 526454","specimen","Shchepanek, Michael J.; Dugal, Albert W.","1985-07-17","1985-07-17","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","St. Croix River  Grand Falls dam site  Baileyville Township  Loc. # 22., Maine, Washington Co. (ME), United States, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Haliburton Co. (ON)","Dawson Ponds  Lot 2 Conc. III. Ca. 6 mi. S. of Dorset  Sherborne Township.",45.333,-78.833,NA,NA,"CMN","CAN","CAN 319657","specimen","Cruise, James E.; Soper, James H.","1967-08-31","1967-08-31","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Dawson Ponds  Lot 2 Conc. III. Ca. 6 mi. S. of Dorset  Sherborne Township., Ontario, Haliburton Co. (ON), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","New Brunswick","York Co. (NB)","Carroll Ridge  5 km south of Canterbury, off Hwy 630, Canterbury Parish.  Loc. No. 3.",45.85,-67.467,NA,NA,"CMN","CAN","CAN 525980","specimen","Shchepanek, Michael J.; Dugal, Albert W.","1985-07-10","1985-07-10","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Carroll Ridge  5 km south of Canterbury, off Hwy 630, Canterbury Parish.  Loc. No. 3., New Brunswick, York Co. (NB), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Algoma Distr. (ON)","Sand Point",47,-84.75,NA,NA,"CMN","CAN","CAN 41172","specimen","Taylor, Thomas M.C.; Hosie, R.C.","1935-09-12","1935-09-12","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Sand Point, Ontario, Algoma Distr. (ON), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Ottawa (metro)","South Gloucester  Gloucester Township  east of Highway 31, west side of Hawthorne Road.",45.3,-75.55,NA,NA,"CMN","CAN","CAN 501401","specimen","Dugal, Albert W.",NA,NA,"Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","South Gloucester  Gloucester Township  east of Highway 31, west side of Hawthorne Road., Ontario, Ottawa (metro), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Peel Reg. Mun.","Mississauga  E of Winston Churchill Blvd.  S of Hwy. 2",43.483,-79.617,NA,NA,"CMN","CAN","CAN 451751","specimen","Webber, J.M.","1980-05-14","1980-05-14","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Mississauga  E of Winston Churchill Blvd.  S of Hwy. 2, Ontario, Peel Reg. Mun., Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Leeds and Grenville United Co.","Cranberry Lake  Area in and along North Kemptville Creek, from road to mouth of Kemptville Creek.",44.8,-75.817,NA,NA,"CMN","CAN","CAN 527611","specimen","Dugal, Albert W.; Gazendam, Gerben","1987-07-29","1987-07-29","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Cranberry Lake  Area in and along North Kemptville Creek, from road to mouth of Kemptville Creek., Ontario, Leeds and Grenville United Co., Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Stormont, Dundas and Glengarry United Co.","Summerstown  2 miles north of Summerstown  near Fraser Creek  Charlottenburgh Township.",45.083,-74.55,NA,NA,"CMN","CAN","CAN 430039","specimen","Shchepanek, Michael J.; Dugal, Albert W.","1976-05-25","1976-05-25","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Summerstown  2 miles north of Summerstown  near Fraser Creek  Charlottenburgh Township., Ontario, Stormont, Dundas and Glengarry United Co., Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Prince Edward Island","Kings Co. (PE)","Hermanville  Valley of the Cross River  E of MacInnis Pond  1 mi. SE of Hermanville",46.45,-62.267,NA,NA,"CMN","CAN","CAN 475158","specimen","Shchepanek, Michael J.; Dugal, Albert W.","1981-08-13","1981-08-13","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Hermanville  Valley of the Cross River  E of MacInnis Pond  1 mi. SE of Hermanville, Prince Edward Island, Kings Co. (PE), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Sudbury Distr. (ON)","Sudbury  John Creek. Near Fairbank's Lake. W. of Sudbury",46.483,-81.517,NA,NA,"CMN","CAN","CAN 323538","specimen","Koski, W.R.","1969-06-28","1969-06-28","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Sudbury  John Creek. Near Fairbank's Lake. W. of Sudbury, Ontario, Sudbury Distr. (ON), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Leeds and Grenville United Co.","Merrickville  8.5 km south of  Wolford Township.",44.867,-75.833,NA,NA,"CMN","CAN","CAN 502316","specimen","Dugal, Albert W.; Gazendam, Gerben","1985-09-05","1985-09-05","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Merrickville  8.5 km south of  Wolford Township., Ontario, Leeds and Grenville United Co., Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Nova Scotia","Digby Co. (NS)","East Ferry  Digby Neck  W side of bog  1.5 mi. NE of East Ferry",44.4,-66.167,NA,NA,"CMN","CAN","CAN 475354","specimen","Shchepanek, Michael J.; Dugal, Albert W.","1981-08-18","1981-08-18","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","East Ferry  Digby Neck  W side of bog  1.5 mi. NE of East Ferry, Nova Scotia, Digby Co. (NS), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Hastings Co. (ON)","Hungerford Township  East side of Lost Channel (Moira River) 3 miles south of Tweed.",44.417,-77.317,NA,NA,"CMN","CAN","CAN 498595","specimen","Shchepanek, Michael J.; Dugal, Albert W.; Ley, Linda M.","1983-06-22","1983-06-22","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Hungerford Township  East side of Lost Channel (Moira River) 3 miles south of Tweed., Ontario, Hastings Co. (ON), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Algoma Distr. (ON)","Harmony River",47,-84.75,NA,NA,"CMN","CAN","CAN 41173","specimen","Taylor, Thomas M.C.; Hosie, R.C.","1935-07-24","1935-07-24","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Harmony River, Ontario, Algoma Distr. (ON), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Lanark Co. (ON)","Brightside  5 mi. N. of Brightside near Clyde River. Off Hwy. 511",45.117,-76.5,NA,NA,"CMN","CAN","CAN 362651","specimen","Shchepanek, Michael J.","1972-09-28","1972-09-28","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Brightside  5 mi. N. of Brightside near Clyde River. Off Hwy. 511, Ontario, Lanark Co. (ON), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Ottawa (metro)","Green's Creek  Mouth of  Gloucester Township.",45.467,-75.567,NA,NA,"CMN","CAN","CAN 501949","specimen","Dugal, Albert W.; Shchepanek, Michael J.","1980-10-10","1980-10-10","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Green's Creek  Mouth of  Gloucester Township., Ontario, Ottawa (metro), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Ottawa (metro)","Osgoode Township  Osgoode Bog  approx 2 miles west of Springhill Cemetary.",45.183,-75.5,NA,NA,"CMN","CAN","CAN 502010","specimen","Dugal, Albert W.; Gazendam, Gerben","1984-05-11","1984-05-11","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Osgoode Township  Osgoode Bog  approx 2 miles west of Springhill Cemetary., Ontario, Ottawa (metro), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","New Brunswick","Charlotte Co. (NB)","Bonny Brook  2 km southwest of Pleasant Ridge  Dumbarton Parish.  Loc. No. 5.",45.392,-67.025,NA,NA,"CMN","CAN","CAN 526061","specimen","Shchepanek, Michael J.; Dugal, Albert W.","1985-07-12","1985-07-12","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Bonny Brook  2 km southwest of Pleasant Ridge  Dumbarton Parish.  Loc. No. 5., New Brunswick, Charlotte Co. (NB), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Renfrew Co. (ON)","Combermere  4.5 mi. S. of Combermere. On Hwy 517",45.3,-77.617,NA,NA,"CMN","CAN","CAN 362652","specimen","Shchepanek, Michael J.; Haber, Erich","1972-06-01","1972-06-01","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Combermere  4.5 mi. S. of Combermere. On Hwy 517, Ontario, Renfrew Co. (ON), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Algoma Distr. (ON)","Old Trout Lake Rd",46.6,-84.267,NA,NA,"CMN","CAN","CAN 322128","specimen","Losee, S.T.B.","1969-04-19","1969-04-19","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Old Trout Lake Rd, Ontario, Algoma Distr. (ON), Canada, North America"
"Alnus incana ssp. rugosa","North America","Canada","Ontario","Lanark Co. (ON)","South Sherbrooke Township  3 km west of Christie Lake, 1 km north of Tay River, near C.P.R. trestle.",44.783,-76.5,NA,NA,"CMN","CAN","CAN 542916","specimen","Shchepanek, Michael J.; Dugal, Albert W.; Ireland, Robert R.; Ley, Linda M.","1989-08-21","1989-08-21","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","South Sherbrooke Township  3 km west of Christie Lake, 1 km north of Tay River, near C.P.R. trestle., Ontario, Lanark Co. (ON), Canada, North America"
"Alnus incana (L.) Moench","North America","United States","New York","Franklin","Birch Island, Upper St. Regis Lake. In woods.",44.28,-74.27,NA,500,"MO","Tropicos","700748","specimen","Peter H. Raven","1992-08-02","1992-08-02","Data from GBIF data index - original values.",2013-05-12,NA,"500",NA,NA,"US","Birch Island, Upper St. Regis Lake. In woods., New York, Franklin, United States, North America"
"Alnus incana (L.) Moench","North America","United States","Wisconsin","Fond du Lac","Spruce Lake Bog State Natural Area in Kettle Moraine S.F. North Unit. T14 N R19E S 22 & 23 (Osceola Township, 1.9 miles NW of Dundee: Sphagnum bog with Picea mariana, Acer, Alnus & Toxicodendron spp.",43.67,-88.2,NA,305,"MO","Tropicos","2881642","specimen","G. Gust & A. Townesmith","2005-08-18","2005-08-18","Data from GBIF data index - original values.",2013-05-12,NA,"305",NA,NA,"US","Spruce Lake Bog State Natural Area in Kettle Moraine S.F. North Unit. T14 N R19E S 22 & 23 (Osceola Township, 1.9 miles NW of Dundee: Sphagnum bog with Picea mariana, Acer, Alnus & Toxicodendron spp., Wisconsin, Fond du Lac, United States, North America"
"Alnus incana (L.) Moench ssp. rugosa (Du Roi) Clausen",NA,"Canada","Ontario","Algonquin","Oxtongue River, Whiskey Rapids",45.48578,-78.75897,NA,3158,"E","E","20061892","living",NA,NA,NA,"Data from GBIF data index - original values.",2013-05-12,"3158","3158",NA,NA,"CA","Oxtongue River, Whiskey Rapids, Ontario, Algonquin, Canada"
"Alnus incana (L.) Moench ssp. rugosa (Du Roi) Clausen",NA,"United States","Minnesota","Crow Wing Co.","Upper Mission Lake",46.3,-94,NA,NA,"E","E","19871361","living",NA,NA,NA,"Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Upper Mission Lake, Minnesota, Crow Wing Co., United States"
"Alnus incana",NA,"Canada",NA,NA,"Niagara Falls",43.083332,-79.1,NA,NA,"M","BSMeryscoll","M-0013777 / 3143 / 1991","specimen","Dearness, J.",NA,NA,"Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Niagara Falls, Canada"
"Alnus incana",NA,"United States",NA,NA,"U. S. A.: Wisconsin, Itayward",45,-90,NA,NA,"M","BSMeryscoll","M-0013773 / 8185 / 5177","specimen","Davis, J.J.","1924-08-25","1924-08-25","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","U. S. A.: Wisconsin, Itayward, United States"
"Alnus incana subsp. rugosa (Du Roi) Clausen",NA,"Canada","Québec",NA,"Municipalité Régionale de Comté Desjardins, Saint-Nicolas;150 mètres au nord-ouest de la route 132, 100 mètres au nord-est de l'Anse-aux-Oies.",46.72222,-71.333336,NA,NA,"Université Laval","QFA","QFA0418649","specimen","Garneau, Michelle","1991-04-05","1991-04-05","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Municipalité Régionale de Comté Desjardins, Saint-Nicolas;150 mètres au nord-ouest de la route 132, 100 mètres au nord-est de l'Anse-aux-Oies., Québec, Canada"
"Alnus incana subsp. rugosa (Du Roi) Clausen",NA,"Canada","Québec",NA,"Comté de Montmorency No 2, Municipalité Régionale de Comté de l'île d‘Orléans. Paroisse Saint-Pierre. Route 368, à 900 m du carrefour proche du pont. A gauche sur une propriété privée.",46.888332,-71.100555,NA,NA,"Université Laval","QFA","QFA0456961","specimen","Poisson, Frédéric; Gauthier, Robert","1997-09-16","1997-09-16","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Comté de Montmorency No 2, Municipalité Régionale de Comté de l'île d‘Orléans. Paroisse Saint-Pierre. Route 368, à 900 m du carrefour proche du pont. A gauche sur une propriété privée., Québec, Canada"
"Alnus incana (L.) Moench",NA,"Canada","Québec",NA,"Saint-Laurent",46.86667,-71.01667,NA,NA,"Université Laval","QFA","QFA0355119","specimen","Meilleur, René","1934-05-20","1934-05-20","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Saint-Laurent, Québec, Canada"
"Alnus incana (L.) Moench",NA,"Canada","Québec",NA,"Ile aux Coudres.",47.4,-70.39056,NA,NA,"Université Laval","QFA","QFA0080608","specimen","Rousseau, Jacques","1940-07-15","1940-07-15","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Ile aux Coudres., Québec, Canada"
"Alnus incana subsp. rugosa (Du Roi) Clausen",NA,"Canada","Québec",NA,"Comté de Rivière-du-Loup, 6 kilomètres au nord-est de Saint-Georges-de-Cacouna, tourbière Bois des Belles.",47.96111,-69.45,NA,NA,"Université Laval","QFA","QFA0576248","specimen","Garneau, Michelle; Quinty, François ; Poulin, Monique","1994-07-05","1994-07-05","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Comté de Rivière-du-Loup, 6 kilomètres au nord-est de Saint-Georges-de-Cacouna, tourbière Bois des Belles., Québec, Canada"
"Alnus incana (L.) Moench",NA,"Canada","Québec",NA,"Ile aux Coudres.",47.4,-70.39056,NA,NA,"Université Laval","QFA","QFA0080476","specimen","Rousseau, Jacques","1940-07-22","1940-07-22","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Ile aux Coudres., Québec, Canada"
"Alnus incana subsp. rugosa",NA,"Canada",NA,NA,"Frontenac Co., Palmerston Tp.",44.86667,-76.76667,NA,251,"USA020","USA020","1064746","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-05-12,NA,"251",NA,NA,"CA","Frontenac Co., Palmerston Tp., Canada"
"Alnus incana subsp. rugosa",NA,"United States",NA,NA,NA,47.34028,-91.19028,NA,NA,"USA020","USA020","1655093","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","United States"
"Alnus incana subsp. rugosa",NA,"United States",NA,NA,"Gratiot County, moist open field.",43.33333,-84.66667,NA,NA,"USA020","USA020","1061525","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Gratiot County, moist open field., United States"
"Alnus incana (Linnaeus) Moench subsp. rugosa (Fernald) Chmielewski","North America","Canada","Québec","Brome-Missisquoi","Sutton, 2166 chemin Poissant, à 50 m au sud de la route et à 5 m à l'est du lac artificiel, à 1m des grosses pierres qui délimitent le terrain",45.11717,-72.59564,NA,84.12,"Université de Montréal Biodiversity Centre","MT","MT00023657","specimen","Roy, Caroline; Roy, Jacqueline","2004-09-06","2004-09-06","Data from GBIF data index - original values.",2013-05-12,NA,"84.12",NA,NA,"CA","Sutton, 2166 chemin Poissant, à 50 m au sud de la route et à 5 m à l'est du lac artificiel, à 1m des grosses pierres qui délimitent le terrain, Québec, Brome-Missisquoi, Canada, North America"
"Alnus incana (Linnaeus) Moench subsp. rugosa (Fernald) Chmielewski","North America","Canada","Québec","Vaudreuil-Soulanges","""Riviére à la Graisse. Marais """"Les Cédres"""".""",45.308334,-74.13194,NA,NA,"Université de Montréal Biodiversity Centre","MT","MT00025200","specimen","Claude, Ginette","2008-09-05","2008-09-05","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Riviére à la Graisse. Marais Les Cédres., Québec, Vaudreuil-Soulanges, Canada, North America"
"Alnus incana (Linnaeus) Moench subsp. rugosa (Fernald) Chmielewski","North America","Canada","Québec","Ville de Gatineau","Île Marguerite. Riviére Gatineau. Futur pont Alonzo-Wright.",45.49161,-75.75236,NA,NA,"Université de Montréal Biodiversity Centre","MT","MT00025076","specimen","Claude, Ginette","2004-08-05","2004-08-05","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"CA","Île Marguerite. Riviére Gatineau. Futur pont Alonzo-Wright., Québec, Ville de Gatineau, Canada, North America"
"Alnus incana subsp. rugosa (Du Roi) Clausen","North America","United States","Illinois",NA,NA,41.95,-88.4333,NA,NA,"F","Botany","1074123","specimen","B. Bauer","1940-05-31","1940-05-31","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Illinois, United States, North America"
"Alnus incana subsp. rugosa (Du Roi) Clausen","North America","United States","Illinois","Cook","Chicago",41.85,-87.65,NA,NA,"F","Botany","458364","specimen","F. C. Gates","1905-04-02","1905-04-02","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Chicago, Illinois, Cook, United States, North America"
"Alnus incana","North America","United States","Connecticut","New London County","Sprague",41.6304,-72.0758,NA,NA,"YPM","BOT","YPM CBS 023558","specimen","R. W. Woodward","1913-09-01","1913-09-01","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Sprague, Connecticut, New London County, United States, North America"
"Alnus incana","North America","United States","Connecticut","Litchfield County","Goshen",41.8501,-73.2336,NA,NA,"YPM","BOT","YPM CBS 023562","specimen","C. H. Bissell","1913-08-24","1913-08-24","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Goshen, Connecticut, Litchfield County, United States, North America"
"Alnus incana","North America","United States","Connecticut","New London County","Franklin",41.6153,-72.1432,NA,NA,"YPM","BOT","YPM CBS 023563","specimen","C. B. Graves","1903-09-04","1903-09-04","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Franklin, Connecticut, New London County, United States, North America"
"Alnus incana","North America","United States","Connecticut","Hartford County","Rocky Hill",41.6571,-72.6633,NA,NA,"YPM","BOT","YPM CBS 023560","specimen","M. F. Starmer","1894-05-05","1894-05-05","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Rocky Hill, Connecticut, Hartford County, United States, North America"
"Alnus incana","North America","United States","Connecticut","New London County","Franklin",41.6153,-72.1432,NA,NA,"YPM","BOT","YPM CBS 023565","specimen","R. W. Woodward","1915-10-09","1915-10-09","Data from GBIF data index - original values.",2013-05-12,NA,NA,NA,NA,"US","Franklin, Connecticut, New London County, United States, North America"
